,make,model,year,fuel_type,hp,num_cyl,trans_type,drive_type,doors,size,style,highway_mpg,city_mpg,popularity,MSRP,cat_1,cat_2
32,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,27495,performance,
33,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,24995,performance,
34,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,28195,performance,
41,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,23,3916,32850,luxury,performance
42,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38650,luxury,
43,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31,20,3916,48750,factory tuner,luxury
44,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35,23,3916,34850,luxury,performance
45,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34,22,3916,40650,luxury,
46,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31,20,3916,44150,factory tuner,luxury
47,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34,22,3916,32850,luxury,performance
48,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30,20,3916,46150,factory tuner,luxury
49,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30,20,3916,50750,factory tuner,luxury
50,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31,21,3916,46450,factory tuner,luxury
51,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32,21,3916,49050,factory tuner,luxury
52,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,32,21,3916,51050,factory tuner,luxury
53,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32,21,3916,44450,factory tuner,luxury
54,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38950,luxury,performance
55,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,24,3916,33150,luxury,performance
56,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,33,24,3916,35150,luxury,performance
57,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,33,23,3916,40950,luxury,
64,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25170,flex fuel,
65,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,23950,flex fuel,
66,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29370,flex fuel,performance
67,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,flex fuel,
68,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26625,flex fuel,performance
69,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,30825,flex fuel,performance
70,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,flex fuel,
71,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795,flex fuel,
72,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,31785,flex fuel,performance
73,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29905,flex fuel,performance
74,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490,flex fuel,
75,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27570,flex fuel,
76,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690,flex fuel,
77,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490,flex fuel,
78,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,29905,flex fuel,performance
79,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,31785,flex fuel,performance
80,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26685,flex fuel,
81,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490,flex fuel,
82,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690,flex fuel,
83,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,30900,flex fuel,performance
84,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795,flex fuel,
85,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995,flex fuel,
86,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490,flex fuel,
112,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16020,hatchback,
113,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14530,hatchback,
114,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,16860,hatchback,
115,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15370,hatchback,
116,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,17050,hatchback,
117,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15560,hatchback,
118,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16210,hatchback,
119,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14720,hatchback,
120,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,17050,hatchback,
121,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15560,hatchback,
122,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16210,hatchback,
123,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14720,hatchback,
124,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,47250,hatchback,luxury
125,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22,3916,41850,hatchback,luxury
126,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22,3916,41850,hatchback,luxury
127,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,34,22,3916,43000,hatchback,luxury
128,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,49200,hatchback,luxury
129,BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,49650,hatchback,luxury
130,BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,23,3916,43950,hatchback,luxury
131,BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,22,3916,41950,luxury,
132,BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,25,3916,50150,luxury,high-performance
133,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,37500,luxury,performance
134,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21,3916,43750,luxury,high-performance
135,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45,32,3916,39000,diesel,luxury
136,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,39500,luxury,
137,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,39500,luxury,
138,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23,3916,34950,luxury,
139,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30,20,3916,45750,luxury,performance
140,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43,31,3916,43450,diesel,luxury
141,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,37500,luxury,performance
142,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,43,31,3916,41000,diesel,luxury
143,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24,3916,32950,luxury,
144,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30,3916,41850,diesel,luxury
145,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,47800,luxury,high-performance
146,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32,3916,39850,diesel,luxury
147,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,22,3916,38350,luxury,performance
148,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,22,3916,40350,luxury,
149,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,34,22,3916,38350,luxury,performance
150,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,34,22,3916,42650,luxury,
151,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24,3916,33150,luxury,
152,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23,3916,35150,luxury,
153,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30,3916,44150,diesel,luxury
154,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,22,3916,45800,luxury,high-performance
155,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23,3916,38750,luxury,performance
156,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,23,3916,35450,luxury,
157,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,33450,luxury,
158,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,23,3916,40750,luxury,
159,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30,3916,42250,diesel,luxury
160,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,23,3916,42950,luxury,
161,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32,3916,40250,diesel,luxury
162,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,21,3916,49900,luxury,performance
163,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21,3916,47900,luxury,high-performance
164,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30,3916,44450,diesel,luxury
201,Mitsubishi,3000GT,1999,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,22,16,436,7600,hatchback,factory tuner
203,Chrysler,300,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,37570,standard,
204,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,31695,standard,
205,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,38070,standard,
206,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,44895,standard,
207,Chrysler,300,2015,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35070,performance,
208,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,42395,performance,
209,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34195,standard,
210,Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,40570,standard,
211,Chrysler,300,2016,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38095,standard,
212,Chrysler,300,2016,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35595,performance,
213,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,45190,standard,
214,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,32260,standard,
215,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,37755,standard,
216,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,41055,standard,
217,Chrysler,300,2016,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,36090,performance,
218,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,42690,performance,
219,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,38555,standard,
220,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35255,standard,
221,Chrysler,300,2016,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38590,standard,
222,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34760,standard,
223,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,41135,standard,
224,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,45270,standard,
225,Chrysler,300,2017,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38670,standard,
226,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,38635,performance,
227,Chrysler,300,2017,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,36170,performance,
228,Chrysler,300,2017,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38175,standard,
229,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,32340,standard,
230,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,42770,performance,
231,Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34840,standard,
232,Chrysler,300,2017,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,35675,performance,
233,Chrysler,300M,2002,premium unleaded (required),250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,24,16,1013,32065,performance,
234,Chrysler,300M,2002,premium unleaded (required),250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,24,16,1013,28540,performance,
235,Chrysler,300M,2003,premium unleaded (required),255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1013,32315,performance,
236,Chrysler,300M,2003,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1013,28885,performance,
237,Chrysler,300M,2004,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1013,29185,performance,
238,Chrysler,300M,2004,premium unleaded (required),255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1013,32615,performance,
260,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,36550,high-performance,
261,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,41250,high-performance,
262,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,30600,high-performance,
263,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,37100,high-performance,
264,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,27900,high-performance,
265,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,32700,high-performance,
266,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,40250,high-performance,
267,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,35550,high-performance,
268,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,36100,high-performance,
269,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,33200,high-performance,
270,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,37900,high-performance,
271,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,29600,high-performance,
272,Nissan,350Z,2007,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,38070,factory tuner,high-performance
273,Nissan,350Z,2007,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,38900,high-performance,
274,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,33840,high-performance,
275,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,38630,high-performance,
276,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,39630,high-performance,
277,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,37740,high-performance,
278,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,41980,high-performance,
279,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,36280,high-performance,
280,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,36740,high-performance,
281,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,40980,high-performance,
282,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,38680,factory tuner,high-performance
283,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,28510,high-performance,
284,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,30210,high-performance,
285,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17,2009,31210,high-performance,
286,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18,2009,33340,high-performance,
287,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,37280,high-performance,
288,Nissan,350Z,2009,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,41570,high-performance,
289,Nissan,350Z,2009,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17,2009,36870,high-performance,
290,Nissan,350Z,2009,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17,2009,42570,high-performance,
